DATE,YEARMODA,Year,Month,Day,Tmin,Tmax,Tmin_source,Tmax_source,no_Tmin,no_Tmax
01-01-58,19580101,1958,1,1,5,7.5,NA,NA,FALSE,FALSE
02-01-58,19580102,1958,1,2,1.5,9,NA,NA,FALSE,FALSE
03-01-58,19580103,1958,1,3,-5.5,1.1,NA,NA,FALSE,FALSE
04-01-58,19580104,1958,1,4,-5.5,0.5,NA,NA,FALSE,FALSE
05-01-58,19580105,1958,1,5,3.5,2.75,NA,NA,FALSE,TRUE
06-01-58,19580106,1958,1,6,3,5,NA,NA,FALSE,FALSE
07-01-58,19580107,1958,1,7,0,11.5,NA,NA,FALSE,FALSE
08-01-58,19580108,1958,1,8,0.833333333,11.5,NA,NA,TRUE,FALSE
09-01-58,19580109,1958,1,9,1.666666667,11.5,NA,NA,TRUE,FALSE
10-01-58,19580110,1958,1,10,2.5,7,NA,NA,FALSE,FALSE
11-01-58,19580111,1958,1,11,1.5,7,NA,NA,FALSE,FALSE
12-01-58,19580112,1958,1,12,0.75,7,NA,NA,TRUE,TRUE
13-01-58,19580113,1958,1,13,0,7,NA,NA,FALSE,FALSE
14-01-58,19580114,1958,1,14,0,4.5,NA,NA,FALSE,FALSE
15-01-58,19580115,1958,1,15,0,7,NA,NA,FALSE,FALSE
16-01-58,19580116,1958,1,16,-0.5,5.5,NA,NA,FALSE,TRUE
17-01-58,19580117,1958,1,17,-1,4,NA,NA,FALSE,FALSE
18-01-58,19580118,1958,1,18,2.5,5.5,NA,NA,FALSE,FALSE
19-01-58,19580119,1958,1,19,0,6.5,NA,NA,FALSE,FALSE
20-01-58,19580120,1958,1,20,-1.5,2,NA,NA,FALSE,FALSE
21-01-58,19580121,1958,1,21,-2.5,2.5,NA,NA,FALSE,FALSE
22-01-58,19580122,1958,1,22,-2.5,2.5,NA,NA,FALSE,FALSE
23-01-58,19580123,1958,1,23,-5.5,2,NA,NA,FALSE,FALSE
24-01-58,19580124,1958,1,24,-6,2,NA,NA,FALSE,FALSE
25-01-58,19580125,1958,1,25,-7,2,NA,NA,FALSE,FALSE
26-01-58,19580126,1958,1,26,-5.166666667,2.25,NA,NA,TRUE,TRUE
27-01-58,19580127,1958,1,27,-3.333333333,2.5,NA,NA,TRUE,FALSE
28-01-58,19580128,1958,1,28,-1.5,2.5,NA,NA,FALSE,FALSE
29-01-58,19580129,1958,1,29,-2.5,3,NA,NA,FALSE,FALSE
30-01-58,19580130,1958,1,30,-3,5,NA,NA,FALSE,FALSE
31-01-58,19580131,1958,1,31,-0.5,8.5,NA,NA,FALSE,FALSE
01-02-58,19580201,1958,2,1,-1,5.5,NA,NA,FALSE,FALSE
02-02-58,19580202,1958,2,2,-1,5.5,NA,NA,TRUE,TRUE
03-02-58,19580203,1958,2,3,-1,5.5,NA,NA,TRUE,FALSE
04-02-58,19580204,1958,2,4,-1,5,NA,NA,FALSE,FALSE
05-02-58,19580205,1958,2,5,0,6,NA,NA,FALSE,FALSE
06-02-58,19580206,1958,2,6,0.5,7,NA,NA,FALSE,FALSE
07-02-58,19580207,1958,2,7,-4.2,7,NA,NA,FALSE,FALSE
08-02-58,19580208,1958,2,8,-3,1.5,NA,NA,FALSE,FALSE
09-02-58,19580209,1958,2,9,-3,5.833333333,NA,NA,FALSE,TRUE
10-02-58,19580210,1958,2,10,2.75,10.16666667,NA,NA,TRUE,TRUE
11-02-58,19580211,1958,2,11,8.5,14.5,NA,NA,FALSE,FALSE
12-02-58,19580212,1958,2,12,8,14.5,NA,NA,FALSE,FALSE
13-02-58,19580213,1958,2,13,5.5,12.5,NA,NA,FALSE,FALSE
14-02-58,19580214,1958,2,14,4.5,12,NA,NA,FALSE,FALSE
15-02-58,19580215,1958,2,15,10.5,16,NA,NA,FALSE,FALSE
16-02-58,19580216,1958,2,16,10,15,NA,NA,FALSE,FALSE
17-02-58,19580217,1958,2,17,3,13,NA,NA,FALSE,FALSE
18-02-58,19580218,1958,2,18,-1.5,4,NA,NA,FALSE,FALSE
19-02-58,19580219,1958,2,19,-2.5,2,NA,NA,FALSE,FALSE
20-02-58,19580220,1958,2,20,-2.6,3,NA,NA,FALSE,FALSE
21-02-58,19580221,1958,2,21,2.5,6,NA,NA,FALSE,FALSE
22-02-58,19580222,1958,2,22,-1,4,NA,NA,FALSE,FALSE
23-02-58,19580223,1958,2,23,-1.5,4,NA,NA,FALSE,FALSE
24-02-58,19580224,1958,2,24,-2.5,7,NA,NA,FALSE,FALSE
25-02-58,19580225,1958,2,25,1,9,NA,NA,FALSE,FALSE
26-02-58,19580226,1958,2,26,-4.5,11,NA,NA,FALSE,FALSE
27-02-58,19580227,1958,2,27,-12.2,-4,NA,NA,FALSE,FALSE
28-02-58,19580228,1958,2,28,-10.5,-1,NA,NA,FALSE,FALSE
01-03-58,19580301,1958,3,1,-7.5,2.5,NA,NA,FALSE,FALSE
02-03-58,19580302,1958,3,2,-4,4.4,NA,NA,FALSE,FALSE
03-03-58,19580303,1958,3,3,-4.5,5,NA,NA,FALSE,FALSE
04-03-58,19580304,1958,3,4,0,2.5,NA,NA,FALSE,FALSE
05-03-58,19580305,1958,3,5,0,7,NA,NA,FALSE,FALSE
06-03-58,19580306,1958,3,6,4.5,7.5,NA,NA,FALSE,FALSE
07-03-58,19580307,1958,3,7,-4,5.5,NA,NA,FALSE,FALSE
08-03-58,19580308,1958,3,8,-2,3,NA,NA,FALSE,FALSE
09-03-58,19580309,1958,3,9,-3,3,NA,NA,FALSE,FALSE
10-03-58,19580310,1958,3,10,-8,3,NA,NA,FALSE,FALSE
11-03-58,19580311,1958,3,11,-9,1,NA,NA,FALSE,FALSE
12-03-58,19580312,1958,3,12,-7.5,0,NA,NA,FALSE,FALSE
13-03-58,19580313,1958,3,13,-5.5,2.5,NA,NA,TRUE,TRUE
14-03-58,19580314,1958,3,14,-3.5,5,NA,NA,FALSE,FALSE
15-03-58,19580315,1958,3,15,-5.5,5.5,NA,NA,FALSE,FALSE
16-03-58,19580316,1958,3,16,-5.5,4.5,NA,NA,FALSE,FALSE
17-03-58,19580317,1958,3,17,-4.5,2,NA,NA,FALSE,FALSE
18-03-58,19580318,1958,3,18,-5,3.5,NA,NA,FALSE,FALSE
19-03-58,19580319,1958,3,19,-4.5,3,NA,NA,FALSE,FALSE
20-03-58,19580320,1958,3,20,-3,1,NA,NA,FALSE,FALSE
21-03-58,19580321,1958,3,21,-3.5,1,NA,NA,FALSE,FALSE
22-03-58,19580322,1958,3,22,-7.5,0,NA,NA,FALSE,FALSE
23-03-58,19580323,1958,3,23,-8,0,NA,NA,FALSE,FALSE
24-03-58,19580324,1958,3,24,-7.5,1,NA,NA,FALSE,FALSE
25-03-58,19580325,1958,3,25,-0.5,6,NA,NA,FALSE,FALSE
26-03-58,19580326,1958,3,26,3.5,10,NA,NA,FALSE,FALSE
27-03-58,19580327,1958,3,27,4,9,NA,NA,FALSE,FALSE
28-03-58,19580328,1958,3,28,7.5,16,NA,NA,FALSE,FALSE
29-03-58,19580329,1958,3,29,6.5,16.5,NA,NA,FALSE,FALSE
30-03-58,19580330,1958,3,30,1.5,15,NA,NA,FALSE,FALSE
31-03-58,19580331,1958,3,31,3,16.5,NA,NA,FALSE,FALSE
01-04-58,19580401,1958,4,1,-3.5,8,NA,NA,FALSE,FALSE
02-04-58,19580402,1958,4,2,-2.5,8,NA,NA,FALSE,FALSE
03-04-58,19580403,1958,4,3,6.5,11.5,NA,NA,FALSE,FALSE
04-04-58,19580404,1958,4,4,3,16,NA,NA,FALSE,FALSE
05-04-58,19580405,1958,4,5,-0.5,12,NA,NA,FALSE,FALSE
06-04-58,19580406,1958,4,6,2,7.5,NA,NA,FALSE,FALSE
07-04-58,19580407,1958,4,7,0,6.5,NA,NA,FALSE,FALSE
08-04-58,19580408,1958,4,8,-1.5,7.5,NA,NA,FALSE,FALSE
09-04-58,19580409,1958,4,9,-2,6.5,NA,NA,FALSE,FALSE
10-04-58,19580410,1958,4,10,-3.5,6.5,NA,NA,FALSE,FALSE
11-04-58,19580411,1958,4,11,-4,6.5,NA,NA,FALSE,FALSE
12-04-58,19580412,1958,4,12,-2.5,7,NA,NA,FALSE,FALSE
13-04-58,19580413,1958,4,13,-1,13,NA,NA,FALSE,FALSE
14-04-58,19580414,1958,4,14,5,16.5,NA,NA,FALSE,FALSE
15-04-58,19580415,1958,4,15,3,14,NA,NA,FALSE,FALSE
16-04-58,19580416,1958,4,16,-2.5,8,NA,NA,FALSE,FALSE
17-04-58,19580417,1958,4,17,1,6,NA,NA,FALSE,FALSE
18-04-58,19580418,1958,4,18,4,8.5,NA,NA,FALSE,FALSE
19-04-58,19580419,1958,4,19,4,14.5,NA,NA,FALSE,FALSE
20-04-58,19580420,1958,4,20,6.5,17,NA,NA,FALSE,FALSE
21-04-58,19580421,1958,4,21,1.5,15,NA,NA,FALSE,FALSE
22-04-58,19580422,1958,4,22,1.2,10.5,NA,NA,FALSE,FALSE
23-04-58,19580423,1958,4,23,1.5,14,NA,NA,FALSE,FALSE
24-04-58,19580424,1958,4,24,7,23.5,NA,NA,FALSE,FALSE
25-04-58,19580425,1958,4,25,3.5,14.5,NA,NA,FALSE,FALSE
26-04-58,19580426,1958,4,26,4,14.5,NA,NA,FALSE,FALSE
27-04-58,19580427,1958,4,27,3.5,8.5,NA,NA,FALSE,FALSE
28-04-58,19580428,1958,4,28,5.5,12,NA,NA,FALSE,FALSE
29-04-58,19580429,1958,4,29,4,13.5,NA,NA,FALSE,FALSE
30-04-58,19580430,1958,4,30,3.5,16.5,NA,NA,FALSE,FALSE
01-05-58,19580501,1958,5,1,5.5,19.5,NA,NA,FALSE,FALSE
02-05-58,19580502,1958,5,2,8.5,21.3,NA,NA,FALSE,FALSE
03-05-58,19580503,1958,5,3,2.5,16,NA,NA,FALSE,FALSE
04-05-58,19580504,1958,5,4,4,15.3,NA,NA,FALSE,FALSE
05-05-58,19580505,1958,5,5,13.4,24.8,NA,NA,FALSE,FALSE
06-05-58,19580506,1958,5,6,9.1,17.4,NA,NA,FALSE,FALSE
07-05-58,19580507,1958,5,7,9.3,18.3,NA,NA,FALSE,FALSE
08-05-58,19580508,1958,5,8,12,21.2,NA,NA,FALSE,FALSE
09-05-58,19580509,1958,5,9,14.5,22.3,NA,NA,FALSE,FALSE
10-05-58,19580510,1958,5,10,13.5,19,NA,NA,FALSE,FALSE
11-05-58,19580511,1958,5,11,9.6,14.8,NA,NA,FALSE,FALSE
12-05-58,19580512,1958,5,12,6,14,NA,NA,FALSE,FALSE
13-05-58,19580513,1958,5,13,9,16.9,NA,NA,FALSE,FALSE
14-05-58,19580514,1958,5,14,9,18,NA,NA,FALSE,FALSE
15-05-58,19580515,1958,5,15,8.2,14.5,NA,NA,FALSE,FALSE
16-05-58,19580516,1958,5,16,5.2,14.4,NA,NA,FALSE,FALSE
17-05-58,19580517,1958,5,17,6.5,14.2,NA,NA,FALSE,FALSE
18-05-58,19580518,1958,5,18,12.4,15.9,NA,NA,FALSE,FALSE
19-05-58,19580519,1958,5,19,7.9,20.9,NA,NA,FALSE,FALSE
20-05-58,19580520,1958,5,20,9,25.8,NA,NA,FALSE,FALSE
21-05-58,19580521,1958,5,21,5.1,14.9,NA,NA,FALSE,FALSE
22-05-58,19580522,1958,5,22,10.1,16.4,NA,NA,FALSE,FALSE
23-05-58,19580523,1958,5,23,11,19.9,NA,NA,FALSE,FALSE
24-05-58,19580524,1958,5,24,11,18.2,NA,NA,FALSE,FALSE
25-05-58,19580525,1958,5,25,10,17,NA,NA,FALSE,FALSE
26-05-58,19580526,1958,5,26,7.2,18.3,NA,NA,FALSE,FALSE
27-05-58,19580527,1958,5,27,9,16.3,NA,NA,FALSE,FALSE
28-05-58,19580528,1958,5,28,5.9,16.9,NA,NA,FALSE,FALSE
29-05-58,19580529,1958,5,29,9.5,19.8,NA,NA,FALSE,FALSE
30-05-58,19580530,1958,5,30,6.8,17.8,NA,NA,FALSE,FALSE
31-05-58,19580531,1958,5,31,8.5,20.5,NA,NA,FALSE,FALSE
01-06-58,19580601,1958,6,1,10.7,24.7,NA,NA,FALSE,FALSE
02-06-58,19580602,1958,6,2,13,26.8,NA,NA,FALSE,FALSE
03-06-58,19580603,1958,6,3,10,18.2,NA,NA,FALSE,FALSE
04-06-58,19580604,1958,6,4,9.5,13.9,NA,NA,FALSE,FALSE
05-06-58,19580605,1958,6,5,8,19.9,NA,NA,FALSE,FALSE
06-06-58,19580606,1958,6,6,12.4,22.9,NA,NA,FALSE,FALSE
07-06-58,19580607,1958,6,7,7.8,22.6,NA,NA,FALSE,FALSE
08-06-58,19580608,1958,6,8,10.6,22.2,NA,NA,FALSE,FALSE
09-06-58,19580609,1958,6,9,10.7,18.5,NA,NA,FALSE,FALSE
10-06-58,19580610,1958,6,10,5.2,17.7,NA,NA,FALSE,FALSE
11-06-58,19580611,1958,6,11,8.7,17.6,NA,NA,FALSE,FALSE
12-06-58,19580612,1958,6,12,4,14.5,NA,NA,FALSE,FALSE
13-06-58,19580613,1958,6,13,4.5,15.8,NA,NA,FALSE,FALSE
14-06-58,19580614,1958,6,14,5.3,21.9,NA,NA,FALSE,FALSE
15-06-58,19580615,1958,6,15,5,22.9,NA,NA,FALSE,FALSE
16-06-58,19580616,1958,6,16,11.8,26.5,NA,NA,FALSE,FALSE
17-06-58,19580617,1958,6,17,12.4,27,NA,NA,FALSE,FALSE
18-06-58,19580618,1958,6,18,6.5,14.5,NA,NA,FALSE,FALSE
19-06-58,19580619,1958,6,19,12.5,19.5,NA,NA,FALSE,FALSE
20-06-58,19580620,1958,6,20,9.5,15.9,NA,NA,FALSE,FALSE
21-06-58,19580621,1958,6,21,9.5,17,NA,NA,FALSE,FALSE
22-06-58,19580622,1958,6,22,9.5,19,NA,NA,FALSE,FALSE
23-06-58,19580623,1958,6,23,9,17.4,NA,NA,FALSE,FALSE
24-06-58,19580624,1958,6,24,7.3,17.2,NA,NA,FALSE,FALSE
25-06-58,19580625,1958,6,25,12.5,17.9,NA,NA,FALSE,FALSE
26-06-58,19580626,1958,6,26,11.8,18.1,NA,NA,FALSE,FALSE
27-06-58,19580627,1958,6,27,10.6,14.7,NA,NA,FALSE,FALSE
28-06-58,19580628,1958,6,28,12.8,18.8,NA,NA,FALSE,FALSE
29-06-58,19580629,1958,6,29,10.5,19.8,NA,NA,FALSE,FALSE
30-06-58,19580630,1958,6,30,13.1,23.8,NA,NA,FALSE,FALSE
01-07-58,19580701,1958,7,1,15,25.8,NA,NA,FALSE,FALSE
02-07-58,19580702,1958,7,2,11.7,18.7,NA,NA,FALSE,FALSE
03-07-58,19580703,1958,7,3,9.5,18.6,NA,NA,FALSE,FALSE
04-07-58,19580704,1958,7,4,13.1,20.1,NA,NA,FALSE,FALSE
05-07-58,19580705,1958,7,5,13,19.5,NA,NA,FALSE,FALSE
06-07-58,19580706,1958,7,6,12.7,19.2,NA,NA,FALSE,FALSE
07-07-58,19580707,1958,7,7,12.8,15.8,NA,NA,FALSE,FALSE
08-07-58,19580708,1958,7,8,9.6,19.2,NA,NA,FALSE,FALSE
09-07-58,19580709,1958,7,9,12.3,24.2,NA,NA,FALSE,FALSE
10-07-58,19580710,1958,7,10,12.6,26.1,NA,NA,FALSE,FALSE
11-07-58,19580711,1958,7,11,14,27.3,NA,NA,FALSE,FALSE
12-07-58,19580712,1958,7,12,14,26.8,NA,NA,FALSE,FALSE
13-07-58,19580713,1958,7,13,10.4,28.1,NA,NA,FALSE,FALSE
14-07-58,19580714,1958,7,14,7.6,21.4,NA,NA,FALSE,FALSE
15-07-58,19580715,1958,7,15,15,25.1,NA,NA,FALSE,FALSE
16-07-58,19580716,1958,7,16,10.8,24.6,NA,NA,FALSE,FALSE
17-07-58,19580717,1958,7,17,8.4,19.1,NA,NA,FALSE,FALSE
18-07-58,19580718,1958,7,18,9.9,22.3,NA,NA,FALSE,FALSE
19-07-58,19580719,1958,7,19,14,27,NA,NA,FALSE,FALSE
20-07-58,19580720,1958,7,20,13,24.1,NA,NA,FALSE,FALSE
21-07-58,19580721,1958,7,21,13.1,19.2,NA,NA,FALSE,FALSE
22-07-58,19580722,1958,7,22,11.5,18.3,NA,NA,FALSE,FALSE
23-07-58,19580723,1958,7,23,9,17.6,NA,NA,FALSE,FALSE
24-07-58,19580724,1958,7,24,9.7,18.8,NA,NA,FALSE,FALSE
25-07-58,19580725,1958,7,25,12,20.6,NA,NA,FALSE,FALSE
26-07-58,19580726,1958,7,26,11.5,22.5,NA,NA,FALSE,FALSE
27-07-58,19580727,1958,7,27,14.9,22.4,NA,NA,FALSE,FALSE
28-07-58,19580728,1958,7,28,18.1,24.3,NA,NA,FALSE,FALSE
29-07-58,19580729,1958,7,29,13.8,23.7,NA,NA,FALSE,FALSE
30-07-58,19580730,1958,7,30,8.8,23.1,NA,NA,FALSE,FALSE
31-07-58,19580731,1958,7,31,9.3,24.4,NA,NA,FALSE,FALSE
01-08-58,19580801,1958,8,1,11.2,28.4,NA,NA,FALSE,FALSE
02-08-58,19580802,1958,8,2,8,21,NA,NA,FALSE,FALSE
03-08-58,19580803,1958,8,3,8,23.8,NA,NA,FALSE,FALSE
04-08-58,19580804,1958,8,4,12.9,20.8,NA,NA,FALSE,FALSE
05-08-58,19580805,1958,8,5,15.7,23.7,NA,NA,FALSE,FALSE
06-08-58,19580806,1958,8,6,10.5,21,NA,NA,FALSE,FALSE
07-08-58,19580807,1958,8,7,11.4,19.5,NA,NA,FALSE,FALSE
08-08-58,19580808,1958,8,8,15.5,21.4,NA,NA,FALSE,FALSE
09-08-58,19580809,1958,8,9,14.3,22.4,NA,NA,FALSE,FALSE
10-08-58,19580810,1958,8,10,15.5,27.4,NA,NA,FALSE,FALSE
11-08-58,19580811,1958,8,11,14.8,24.6,NA,NA,FALSE,FALSE
12-08-58,19580812,1958,8,12,12.7,19,NA,NA,FALSE,FALSE
13-08-58,19580813,1958,8,13,13.2,20.3,NA,NA,FALSE,FALSE
14-08-58,19580814,1958,8,14,16.2,20.4,NA,NA,FALSE,FALSE
15-08-58,19580815,1958,8,15,15.8,23.9,NA,NA,FALSE,FALSE
16-08-58,19580816,1958,8,16,10,21.5,NA,NA,FALSE,FALSE
17-08-58,19580817,1958,8,17,13.3,22.3,NA,NA,FALSE,FALSE
18-08-58,19580818,1958,8,18,15.6,25.7,NA,NA,FALSE,FALSE
19-08-58,19580819,1958,8,19,14.9,23.6,NA,NA,FALSE,FALSE
20-08-58,19580820,1958,8,20,11.2,21,NA,NA,FALSE,FALSE
21-08-58,19580821,1958,8,21,11.3,19.6,NA,NA,FALSE,FALSE
22-08-58,19580822,1958,8,22,12.8,20.2,NA,NA,FALSE,FALSE
23-08-58,19580823,1958,8,23,8.4,20,NA,NA,FALSE,FALSE
24-08-58,19580824,1958,8,24,11.6,18.9,NA,NA,FALSE,FALSE
25-08-58,19580825,1958,8,25,11.5,19.8,NA,NA,FALSE,FALSE
26-08-58,19580826,1958,8,26,9,20.1,NA,NA,FALSE,FALSE
27-08-58,19580827,1958,8,27,9.1,21.9,NA,NA,FALSE,FALSE
28-08-58,19580828,1958,8,28,7.5,27.8,NA,NA,FALSE,FALSE
29-08-58,19580829,1958,8,29,14.5,28.1,NA,NA,FALSE,FALSE
30-08-58,19580830,1958,8,30,17,27.6,NA,NA,FALSE,FALSE
31-08-58,19580831,1958,8,31,12.5,25.3,NA,NA,FALSE,FALSE
01-09-58,19580901,1958,9,1,11,24.3,NA,NA,FALSE,FALSE
02-09-58,19580902,1958,9,2,12.4,24.2,NA,NA,FALSE,FALSE
03-09-58,19580903,1958,9,3,11,22.6,NA,NA,FALSE,FALSE
04-09-58,19580904,1958,9,4,11.5,23.3,NA,NA,FALSE,FALSE
05-09-58,19580905,1958,9,5,13.1,25.4,NA,NA,FALSE,FALSE
06-09-58,19580906,1958,9,6,15,29,NA,NA,FALSE,FALSE
07-09-58,19580907,1958,9,7,14,27.3,NA,NA,FALSE,FALSE
08-09-58,19580908,1958,9,8,11.4,22.2,NA,NA,FALSE,FALSE
09-09-58,19580909,1958,9,9,13,20.4,NA,NA,FALSE,FALSE
10-09-58,19580910,1958,9,10,11.5,19,NA,NA,FALSE,FALSE
11-09-58,19580911,1958,9,11,7.5,17.6,NA,NA,FALSE,FALSE
12-09-58,19580912,1958,9,12,5.9,17.6,NA,NA,FALSE,FALSE
13-09-58,19580913,1958,9,13,9.5,22.2,NA,NA,FALSE,FALSE
14-09-58,19580914,1958,9,14,12.2,26.4,NA,NA,FALSE,FALSE
15-09-58,19580915,1958,9,15,13.9,27.9,NA,NA,FALSE,FALSE
16-09-58,19580916,1958,9,16,14.1,19.2,NA,NA,FALSE,FALSE
17-09-58,19580917,1958,9,17,11.9,17.1,NA,NA,FALSE,FALSE
18-09-58,19580918,1958,9,18,8.3,18.4,NA,NA,FALSE,FALSE
19-09-58,19580919,1958,9,19,10.8,20.8,NA,NA,FALSE,FALSE
20-09-58,19580920,1958,9,20,10.5,21,NA,NA,FALSE,FALSE
21-09-58,19580921,1958,9,21,9.5,16.9,NA,NA,FALSE,FALSE
22-09-58,19580922,1958,9,22,10,18.6,NA,NA,FALSE,FALSE
23-09-58,19580923,1958,9,23,11.9,18.5,NA,NA,FALSE,FALSE
24-09-58,19580924,1958,9,24,11.5,19.3,NA,NA,FALSE,FALSE
25-09-58,19580925,1958,9,25,10.5,15.8,NA,NA,FALSE,FALSE
26-09-58,19580926,1958,9,26,10.7,14.5,NA,NA,FALSE,FALSE
27-09-58,19580927,1958,9,27,5,15.4,NA,NA,FALSE,FALSE
28-09-58,19580928,1958,9,28,7.4,17.2,NA,NA,FALSE,FALSE
29-09-58,19580929,1958,9,29,11.3,22.1,NA,NA,FALSE,FALSE
30-09-58,19580930,1958,9,30,12.5,18.4,NA,NA,FALSE,FALSE
01-10-58,19581001,1958,10,1,8.4,15.4,NA,NA,FALSE,FALSE
02-10-58,19581002,1958,10,2,7.5,16.8,NA,NA,FALSE,FALSE
03-10-58,19581003,1958,10,3,9.5,16.9,NA,NA,FALSE,FALSE
04-10-58,19581004,1958,10,4,10.2,19.5,NA,NA,FALSE,FALSE
05-10-58,19581005,1958,10,5,8.4,17.4,NA,NA,FALSE,FALSE
06-10-58,19581006,1958,10,6,2.9,12.9,NA,NA,FALSE,FALSE
07-10-58,19581007,1958,10,7,5.6,15.5,NA,NA,FALSE,FALSE
08-10-58,19581008,1958,10,8,11.2,17.3,NA,NA,FALSE,FALSE
09-10-58,19581009,1958,10,9,13,18.9,NA,NA,FALSE,FALSE
10-10-58,19581010,1958,10,10,11.1,19.9,NA,NA,FALSE,FALSE
11-10-58,19581011,1958,10,11,10,12.8,NA,NA,FALSE,FALSE
12-10-58,19581012,1958,10,12,5.5,13.6,NA,NA,FALSE,FALSE
13-10-58,19581013,1958,10,13,7.1,13.3,NA,NA,FALSE,FALSE
14-10-58,19581014,1958,10,14,10,14.2,NA,NA,FALSE,FALSE
15-10-58,19581015,1958,10,15,7.5,13.4,NA,NA,FALSE,FALSE
16-10-58,19581016,1958,10,16,5,9.4,NA,NA,FALSE,FALSE
17-10-58,19581017,1958,10,17,4,12.2,NA,NA,FALSE,FALSE
18-10-58,19581018,1958,10,18,5,11.5,NA,NA,FALSE,FALSE
19-10-58,19581019,1958,10,19,7.7,10.6,NA,NA,FALSE,FALSE
20-10-58,19581020,1958,10,20,7.23,11.9,NA,NA,FALSE,FALSE
21-10-58,19581021,1958,10,21,2.2,11.4,NA,NA,FALSE,FALSE
22-10-58,19581022,1958,10,22,3.3,10.2,NA,NA,FALSE,FALSE
23-10-58,19581023,1958,10,23,4.9,12.5,NA,NA,FALSE,FALSE
24-10-58,19581024,1958,10,24,7.3,11.3,NA,NA,FALSE,FALSE
25-10-58,19581025,1958,10,25,8.5,11.2,NA,NA,FALSE,FALSE
26-10-58,19581026,1958,10,26,3.5,11.9,NA,NA,FALSE,FALSE
27-10-58,19581027,1958,10,27,0.5,10.9,NA,NA,FALSE,FALSE
28-10-58,19581028,1958,10,28,0.5,15.9,NA,NA,FALSE,FALSE
29-10-58,19581029,1958,10,29,2,9.7,NA,NA,FALSE,FALSE
30-10-58,19581030,1958,10,30,1.6,10.6,NA,NA,FALSE,FALSE
31-10-58,19581031,1958,10,31,2.4,9.5,NA,NA,FALSE,FALSE
01-11-58,19581101,1958,11,1,1.5,10,NA,NA,FALSE,FALSE
02-11-58,19581102,1958,11,2,3.4,7,NA,NA,FALSE,FALSE
03-11-58,19581103,1958,11,3,5.9,6,NA,NA,FALSE,FALSE
04-11-58,19581104,1958,11,4,5,8.2,NA,NA,FALSE,FALSE
05-11-58,19581105,1958,11,5,4.4,10.4,NA,NA,FALSE,FALSE
06-11-58,19581106,1958,11,6,2.9,12,NA,NA,FALSE,FALSE
07-11-58,19581107,1958,11,7,4.3,11.4,NA,NA,FALSE,FALSE
08-11-58,19581108,1958,11,8,6.5,9,NA,NA,FALSE,FALSE
09-11-58,19581109,1958,11,9,3,9.6,NA,NA,FALSE,FALSE
10-11-58,19581110,1958,11,10,3.5,5.9,NA,NA,FALSE,FALSE
11-11-58,19581111,1958,11,11,2.9,5.7,NA,NA,FALSE,FALSE
12-11-58,19581112,1958,11,12,0.6,4.6,NA,NA,FALSE,FALSE
13-11-58,19581113,1958,11,13,0.5,5.5,NA,NA,FALSE,FALSE
14-11-58,19581114,1958,11,14,5,7.9,NA,NA,FALSE,FALSE
15-11-58,19581115,1958,11,15,6.7,7.1,NA,NA,FALSE,FALSE
16-11-58,19581116,1958,11,16,3,9,NA,NA,FALSE,FALSE
17-11-58,19581117,1958,11,17,4,8,NA,NA,FALSE,FALSE
18-11-58,19581118,1958,11,18,4.2,8,NA,NA,FALSE,FALSE
19-11-58,19581119,1958,11,19,0.5,9.5,NA,NA,FALSE,FALSE
20-11-58,19581120,1958,11,20,4,5,NA,NA,FALSE,FALSE
21-11-58,19581121,1958,11,21,3.5,6.5,NA,NA,FALSE,FALSE
22-11-58,19581122,1958,11,22,3.4,5,NA,NA,FALSE,FALSE
23-11-58,19581123,1958,11,23,2.5,5,NA,NA,FALSE,FALSE
24-11-58,19581124,1958,11,24,1.1,5.2,NA,NA,FALSE,FALSE
25-11-58,19581125,1958,11,25,-0.4,1.9,NA,NA,FALSE,FALSE
26-11-58,19581126,1958,11,26,-0.6,2.8,NA,NA,FALSE,FALSE
27-11-58,19581127,1958,11,27,2.4,5.8,NA,NA,FALSE,FALSE
28-11-58,19581128,1958,11,28,1.9,5,NA,NA,FALSE,FALSE
29-11-58,19581129,1958,11,29,1.15,3.95,NA,NA,TRUE,TRUE
30-11-58,19581130,1958,11,30,0.4,2.9,NA,NA,FALSE,FALSE
01-12-58,19581201,1958,12,1,-4.2,3.8,NA,NA,FALSE,FALSE
02-12-58,19581202,1958,12,2,-4.2,1.3,NA,NA,FALSE,FALSE
03-12-58,19581203,1958,12,3,-4.7,1.6,NA,NA,FALSE,FALSE
04-12-58,19581204,1958,12,4,-0.2,3.5,NA,NA,FALSE,FALSE
05-12-58,19581205,1958,12,5,2.2,5,NA,NA,FALSE,FALSE
06-12-58,19581206,1958,12,6,-2.5,5,NA,NA,FALSE,FALSE
07-12-58,19581207,1958,12,7,-5.5,0.9,NA,NA,FALSE,FALSE
08-12-58,19581208,1958,12,8,-4.5,1.5,NA,NA,FALSE,FALSE
09-12-58,19581209,1958,12,9,0.9,4.4,NA,NA,FALSE,FALSE
10-12-58,19581210,1958,12,10,0.1,4.9,NA,NA,FALSE,FALSE
11-12-58,19581211,1958,12,11,1.6,6.1,NA,NA,FALSE,FALSE
12-12-58,19581212,1958,12,12,3.1,7.1,NA,NA,FALSE,FALSE
13-12-58,19581213,1958,12,13,3.1,6.8,NA,NA,FALSE,FALSE
